highest/JJS body/NN in/IN elected/VBN officials/NNS
the/DT constraints/NNS in/IN the/DT use/NN
the/DT use/NN in/IN continuing/VBG contracts/NNS
inefficient/JJ use/NN in/IN appropriated/VBN funds/NNS
unwise/JJ uses/NNS in/IN continuing/VBG contracts/NNS
the/DT use/NN in/IN continuing/VBG contracts/NNS
one/CD increment/NN in/IN the/DT project/NN
under/IN section/NN in/IN the/DT bill/NN
year/NN schedule/NN in/IN spending/NN for/IN
the/DT effects/NNS in/IN some/DT on/IN
good/JJ piece/NN in/IN legislation/NN that/WDT
the/DT floor/NN in/IN the/DT house/NN
the/DT house/NN in/IN representatives/NNS
a/DT series/NN in/IN amendments/NNS to/TO
the/DT committee/NN in/IN resources/NNS to/TO
off/RP one/CD in/IN our/PRP$ greatest/JJS
only/JJ buyers/NNS in/IN the/DT block/NN
other/JJ sources/NNS in/IN fossil/JJ fuels/NNS
other/JJ forms/NNS in/IN energy/NN and/CC
a/DT number/NN in/IN cases/NNS in/IN
in/IN cases/NNS in/IN cancer/NN birth/NN
existing/VBG rights/NNS in/IN states/NNS and/CC
the/DT end/NN in/IN my/PRP$ statement/NN
a/DT violation/NN in/IN the/DT unfunded/JJ
million/CD because/IN in/IN the/DT large/JJ
my/PRP$ support/NN in/IN the/DT house/NN
house/NN version/NN in/IN the/DT energy/NN
of/IN support/NN in/IN this/DT important/JJ
rd/NN district/NN in/IN colorado/NN
and/CC comes/VBZ in/IN the/DT heels/NNS
the/DT heels/NNS in/IN a/DT colorado/NN
existing/VBG uses/NNS in/IN their/PRP$ nontribal/JJ
timely/JJ completion/NN in/IN the/DT alp/NN
completed/VBN percent/NN in/IN the/DT project/NN
policy/NN act/NN in/IN will/MD provide/VB
the/DT form/NN in/IN higher/JJR gas/NN
deep/JJ waters/NNS in/IN the/DT gulf/NN
the/DT gulf/NN in/IN mexico/NN
the/DT gulf/NN in/IN mexico/NN where/WRB
foreign/JJ sources/NNS in/IN energy/NN
every/DT type/NN in/IN mining/NN that/WDT
renewable/JJ sources/NNS in/IN energy/NN and/CC
on/IN support/NN in/IN the/DT conaway/NN
of/IN support/NN in/IN this/DT amendment/NN
the/DT price/NN in/IN oil/NN and/CC
a/DT gallon/NN in/IN regular/JJ unleaded/JJ
seven/CD percent/NN in/IN the/DT tax/NN
that/IN we/PRP in/IN the/DT committee/NN
the/DT committee/NN in/IN science/NN are/VBP
said/VBD jump/NN in/IN the/DT dam/NN
the/DT way/NN in/IN resources/NNS
for/IN all/DT in/IN our/PRP$ country/NN
a/DT couple/NN in/IN lignite/JJ mines/NNS
a/DT work/NN in/IN art/NN
in/IN course/NN we/PRP
laid/VBN many/JJ in/IN us/PRP remember/VBP
the/DT gulf/NN in/IN mexico/NN it/PRP
the/DT number/NN in/IN jobs/NNS on/IN
the/DT price/NN in/IN oil/NN and/CC
a/DT result/NN in/IN the/DT downturn/NN
the/DT loss/NN in/IN jobs/NNS that/WDT
the/DT price/NN in/IN natural/JJ gas/NN
on/IN favor/NN in/IN this/DT amendment/NN
the/DT number/NN in/IN good/JJ solid/JJ
of/IN favor/NN in/IN the/DT amendment/NN
we/PRP voted/VBD in/IN last/JJ week/NN
minority/NN depend/VBP in/IN a/DT process/NN
that/WDT relies/VBZ in/IN honesty/NN and/CC
the/DT case/NN in/IN this/DT report/NN
the/DT business/NN in/IN public/JJ transport/NN
first/JJ cousins/NNS in/IN the/DT minor/JJ
primary/JJ purpose/NN in/IN ciana/NN
fundamental/JJ rights/NNS in/IN parents/NNS on/IN
full/JJ funding/NN in/IN the/DT important/JJ
the/DT loss/NN in/IN their/PRP$ loved/VBN
front/JJ page/NN in/IN the/DT washington/NN
terrible/JJ effects/NNS in/IN the/DT war/NN
the/DT debate/NN in/IN the/DT conference/NN
our/PRP$ remarks/NNS in/IN what/WP truly/RB
they/PRP wage/VBP in/IN behalf/NN in/IN
in/IN behalf/NN in/IN the/DT american/JJ
the/DT cause/NN in/IN liberty/NN
the/DT chairman/NN in/IN the/DT committee/NN
the/DT adoption/NN in/IN this/DT resolution/NN
be/VB part/NN in/IN the/DT official/JJ
after/IN line/NN in/IN great/JJ specificity/NN
the/DT committee/NN in/IN appropriations/NNS was/VBD
the/DT needs/NNS in/IN our/PRP$ personnel/NNS
other/JJ body/NN in/IN my/PRP$ friends/NNS
my/PRP$ friends/NNS in/IN the/DT other/JJ
of/IN favor/NN in/IN this/DT particular/JJ
place/VBP people/NNS in/IN the/DT line/NN
global/JJ war/NN in/IN terror/NN and/CC
conference/NN report/NN in/IN the/DT bill/NN
the/DT text/NN in/IN which/WDT is/VBZ
select/JJ committee/NN in/IN the/DT model/NN
and/CC investigation/NN in/IN the/DT awarding/NN
the/DT issuance/NN in/IN government/NN contracts/NNS
laundering/NN accountability/NN in/IN contractors/NNS and/CC
carrying/VBG out/RP in/IN government/NN contracts/NNS
and/CC utilization/NN in/IN small/JJ businesses/NNS
and/CC testimony/NN in/IN such/JJ witnesses/NNS
the/DT furnishing/NN in/IN information/NN by/IN
the/DT production/NN in/IN such/JJ books/NNS
and/CC information/NN in/IN any/DT kind/NN
c/NN issuance/NN in/IN subpoenas/NNS a/DT
the/DT conduct/NN in/IN any/DT investigation/NN
a/DT majority/NN in/IN the/DT members/NNS
and/CC hearings/NNS in/IN the/DT select/JJ
a/DT majority/NN in/IN members/NNS in/IN
in/IN members/NNS in/IN the/DT select/JJ
the/DT purpose/NN in/IN hearings/NNS to/TO
d/LS reimbursement/NN in/IN expenses/NNS the/DT
the/DT performance/NN in/IN the/DT their/PRP$
the/DT chairman/NN in/IN the/DT select/JJ
the/DT committee/NN in/IN house/NN administration/NN
the/DT clerk/NN in/IN the/DT house/NN
my/PRP$ request/NN in/IN last/JJ Thursday/NNP
a/DT question/NN in/IN the/DT privileges/NNS
the/DT committee/NN in/IN the/DT judiciary/NN
judiciary/NN report/NN in/IN hr/NN mischaracterized/VBN
the/DT intentions/NNS in/IN the/DT members/NNS
the/DT rights/NNS in/IN every/DT member/NN
none/NN in/IN us/PRP wants/VBZ
a/DT member/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN the/DT judiciary/NN
this/DT question/NN in/IN the/DT privileges/NNS
the/DT privileges/NNS in/IN the/DT house/NN
blatant/JJ abuse/NN in/IN power/NN republicans/NNS
the/DT description/NN in/IN numerous/JJ democratic/JJ
when/WRB some/DT in/IN the/DT amendments/NNS
the/DT attacks/NNS in/IN
a/DT lot/NN in/IN discussion/NN about/IN
strong/JJ support/NN in/IN not/RB only/RB
the/DT war/NN in/IN terror/NN including/VBG
those/DT in/IN us/PRP who/WP
house/NN conferees/NNS in/IN the/DT republican/JJ
hold/VB hearings/NNS in/IN hr/NN our/PRP$
our/PRP$ goal/NN in/IN putting/VBG into/IN
their/PRP$ attention/NN in/IN the/DT potential/JJ
on/IN implementation/NN in/IN this/DT important/JJ
a/DT matter/NN in/IN fact/NN on/IN
the/DT people/NNS in/IN florida/NN amended/VBN
before/IN termination/NN in/IN the/DT minor/JJ
disparages/VBZ any/DT in/IN the/DT intentions/NNS
on/IN any/DT in/IN the/DT amendments/NNS
the/DT midst/NN in/IN the/DT greatest/JJS
this/DT acrimony/NN in/IN the/DT finer/NN
am/VBP ashamed/JJ in/IN that/DT
on/IN support/NN in/IN the/DT rule/NN
the/DT value/NN in/IN these/DT critical/JJ
models/NNS because/IN in/IN severe/JJ fatigue/NN
and/CC out/IN in/IN iraq/NN and/CC
on/IN need/NN in/IN reform/NN and/CC
the/DT substance/NN in/IN the/DT descriptions/NNS
the/DT effects/NNS in/IN the/DT amendments/NNS
now/RB members/NNS in/IN the/DT house/NN
fiftyfor/VBP members/NNS in/IN the/DT other/JJ
other/JJ side/NN in/IN the/DT aisle/NN
the/DT intent/NN in/IN an/DT amendment/NN
the/DT accuracy/NN in/IN the/DT letter/NN
on/IN terms/NNS in/IN the/DT numbers/NNS
the/DT numbers/NNS in/IN people/NNS but/CC
three/CD members/NNS in/IN congress/NN were/VBD
the/DT accuracy/NN in/IN the/DT work/NN
direct/JJ mischaracterization/NN in/IN these/DT actual/JJ
three/CD members/NNS in/IN congress/NN whose/WP$
the/DT history/NN in/IN this/DT congress/NN
the/DT sense/NN in/IN comity/NN collegiality/NN
the/DT members/NNS in/IN the/DT judiciary/NN
the/DT constitution/NN in/IN the/DT united/VBN
ranking/JJ member/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN the/DT judiciary/NN
notification/NN act/NN in/IN
misreported/VBN portions/NNS in/IN house/NN report/NN
on/IN terms/NNS in/IN the/DT personal/JJ
a/DT lot/NN in/IN achilles/NNS heels/NNS
and/CC then/RB in/IN course/NN it/PRP
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT committee/NN in/IN the/DT judiciary/NN
carrying/VBG out/RP in/IN government/NN contracts/NNS
as/IN part/NN in/IN world/NN war/NN
became/VBD aware/JJ in/IN widespread/JJ stories/NNS
the/DT size/NN in/IN those/DT contracts/NNS
the/DT quality/NN in/IN contractor/NN work/NN
the/DT use/NN in/IN taxpayers/NNS dollars/NNS
the/DT misuse/NN in/IN american/JJ taxpayer/NN
employees/NNS were/VBD in/IN an/DT unnamed/JJ
on/IN tens/NNS in/IN millions/NNS in/IN
in/IN millions/NNS in/IN dollars/NNS of/IN
the/DT reports/NNS in/IN whistleblowers/NNS
the/DT course/NN in/IN that/DT legislation/NN
our/PRP$ differences/NNS in/IN opinion/NN as/IN
the/DT question/NN in/IN parental/JJ consent/NN
counsel/NN because/IN in/IN some/DT tragedy/NN
the/DT committee/NN in/IN the/DT judiciary/NN
by/IN members/NNS in/IN my/PRP$ side/NN
a/DT number/NN in/IN amendments/NNS offered/VBN
the/DT floor/NN in/IN the/DT house/NN
be/VB out/RB in/IN the/DT pipeline/NN
first/JJ cousins/NNS in/IN a/DT minor/JJ
the/DT floor/NN in/IN the/DT house/NN
the/DT rash/NN in/IN attacks/NNS in/IN
in/IN attacks/NNS in/IN our/PRP$ children/NNS
a/DT couple/NN in/IN years/NNS ago/RB
as/IN cochair/NN in/IN the/DT congressional/JJ
full/JJ well/RB in/IN their/PRP$ undying/JJ
the/DT prohibitions/NNS in/IN this/DT section/NN
the/DT committee/NN in/IN rules/NNS was/VBD
the/DT rules/NNS in/IN this/DT body/NN
our/PRP$ eyes/NNS in/IN the/DT flag/NN
the/DT heat/NN in/IN debate/NN words/NNS
the/DT course/NN in/IN the/DT debate/NN
the/DT committee/NN in/IN rules/NNS and/CC
the/DT work/NN in/IN an/DT individual/JJ
was/VBD driving/VBG in/IN the/DT freeway/NN
texas/NNS because/IN in/IN the/DT amber/NN
that/IN all/DT in/IN the/DT members/NNS
the/DT members/NNS in/IN this/DT house/NN
a/DT highlight/NN in/IN another/DT kidnapped/VBN
the/DT committee/NN in/IN rules/NNS of/IN
the/DT committee/NN in/IN rules/NNS
three/CD branches/NNS in/IN government/NN and/CC
committee/NN or/CC in/IN the/DT floor/NN
the/DT instance/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN the/DT judiciary/NN
might/MD occur/VB in/IN this/DT legislation/NN
were/VBD fearful/JJ in/IN getting/VBG parental/JJ
the/DT glimpses/NNS in/IN the/DT words/NNS
the/DT intent/NN in/IN what/WP you/PRP
the/DT extent/NN in/IN drug/NN cartels/NNS
hear/VB that/IN in/IN the/DT floor/NN
complete/JJ opposite/NN in/IN your/PRP$ intent/NN
the/DT course/NN in/IN this/DT discussion/NN
greater/JJR attention/NN in/IN this/DT body/NN
it/PRP was/VBD in/IN the/DT brink/NN
the/DT mind/NN in/IN a/DT colleague/NN
best/JJS approach/NN in/IN that/DT particular/JJ
a/DT lot/NN in/IN papers/NNS here/RB
to/TO some/DT in/IN the/DT accusations/NNS
a/DT sunbeam/NN in/IN the/DT whole/JJ
the/DT hand/NN in/IN the/DT divinity/NN
mortal/JJ power/NN in/IN course/NN this/DT
the/DT chairman/NN in/IN the/DT judiciary/NN
on/IN members/NNS in/IN congress/NN
inaccurate/JJ representation/NN in/IN the/DT amendments/NNS
of/IN committee/NN in/IN April/NNP on/IN
the/DT lack/NN in/IN accuracy/NN on/IN
ix/NN paragraph/NN in/IN the/DT house/NN
the/DT authors/NNS in/IN amendments/NNS to/TO
notification/NN act/NN in/IN
in/IN may/MD the/DT
ranking/JJ member/NN in/IN the/DT committee/NN
the/DT act/NN in/IN the/DT chairman/NN
the/DT chairman/NN in/IN the/DT judiciary/NN
the/DT rights/NNS in/IN the/DT house/NN
the/DT integrity/NN in/IN its/PRP$ proceedings/NNS
the/DT integrity/NN in/IN the/DT house/NN
the/DT malreporting/NN in/IN the/DT amendments/NNS
the/DT captions/NNS in/IN five/CD democratic/JJ
the/DT chairman/NN in/IN the/DT judiciary/NN
clear/JJ abuse/NN in/IN power/NN
the/DT language/NN in/IN the/DT amendments/NNS
business/NN bill/NN in/IN rights/NNS which/WDT
republican/JJ leadership/NN in/IN this/DT body/NN
committee/NN report/NN in/IN the/DT bill/NN
description/NN in/IN amendment/NN a/DT
description/NN in/IN amendment/NN a/DT
to/TO three/CD in/IN our/PRP$ colleagues/NNS
democratic/JJ members/NNS in/IN this/DT body/NN
the/DT rights/NNS in/IN family/NN members/NNS
the/DT chairman/NN in/IN the/DT judiciary/NN
the/DT leadership/NN in/IN this/DT congress/NN
the/DT form/NN in/IN campaign/NN attack/NN
were/VBD defeated/VBN in/IN a/DT party/NN
the/DT loss/NN in/IN civility/NN on/IN
regain/VB some/DT in/IN that/DT lost/VBD
arrogant/JJ administration/NN in/IN this/DT house/NN
committee/NN markup/NN in/IN hr/NN the/DT
on/IN support/NN in/IN the/DT supplemental/JJ
an/DT opportunity/NN in/IN two/CD separate/JJ
the/DT creation/NN in/IN a/DT truman/NN
more/JJR accountability/NN in/IN how/WRB the/DT
the/DT descriptions/NNS in/IN the/DT amendments/NNS
the/DT rest/NN in/IN us/PRP on/IN
the/DT daughter/NN in/IN a/DT veteran/NN
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT consideration/NN in/IN the/DT bill/NN
many/JJ in/IN us/PRP have/VBP
the/DT power/NN in/IN debate/NN to/TO
the/DT privilege/NN in/IN meeting/VBG some/DT
that/DT kind/NN in/IN confidence/NN of/IN
the/DT forces/NNS in/IN terror/NN terrorists/NNS
the/DT war/NN in/IN terror/NN
the/DT people/NNS in/IN iraq/NN defied/VBD
the/DT formation/NN in/IN a/DT new/JJ
the/DT leaders/NNS in/IN al/JJ qaeda/NN
lying/VBG report/NN in/IN the/DT committee/NN
the/DT floor/NN in/IN the/DT house/NN
the/DT rules/NNS in/IN this/DT house/NN
any/DT bill/NN in/IN the/DT floor/NN
the/DT floor/NN in/IN the/DT house/NN
the/DT laws/NNS in/IN one/CD state/NN
and/CC all/DT in/IN these/DT things/NNS
the/DT reports/NNS in/IN the/DT amendment/NN
a/DT markup/NN in/IN the/DT bill/NN
notification/NN act/NN in/IN Wednesday/NNP April/NNP
bill/NN reported/VBN in/IN that/DT same/JJ
a/DT total/NN in/IN five/CD amendments/NNS
recorded/VBN votes/NNS in/IN their/PRP$ amendments/NNS
the/DT chairman/NN in/IN the/DT committee/NN
rules/NNS and/CC in/IN the/DT house/NN
the/DT committee/NN in/IN the/DT judiciary/NN
earlier/JJR versions/NNS in/IN hr/NN were/VBD
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT judiciary/NN in/IN three/CD separate/JJ
nonpartisan/JJ portion/NN in/IN a/DT committee/NN
an/DT abuse/NN in/IN power/NN by/IN
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT section/NN in/IN a/DT committee/NN
the/DT integrity/NN in/IN the/DT members/NNS
the/DT proceedings/NNS in/IN the/DT house/NN
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT chairman/NN in/IN such/JJ committee/NN
on/IN hr/NN in/IN April/NNP were/VBD
s/VBZ report/NN in/IN that/DT legislation/NN
clause/NN b/NN in/IN rule/NN xiii/NNS
the/DT rules/NNS in/IN the/DT house/NN
question/NN appears/VBZ in/IN pages/NNS and/CC
pages/NNS and/CC in/IN the/DT committee/NN
actual/JJ content/NN in/IN the/DT amendments/NNS
a/DT member/NN in/IN this/DT house/NN
a/DT question/NN in/IN personal/JJ privilege/NN
minutes/NNS ago/RB in/IN the/DT supplemental/JJ
tacit/JJ acknowledgment/NN in/IN the/DT inaccuracy/NN
the/DT committee/NN in/IN rules/NNS and/CC
rules/NNS and/CC in/IN the/DT floor/NN
poisonous/JJ atmosphere/NN in/IN the/DT present/JJ
the/DT committee/NN in/IN the/DT judiciary/NN
libelous/JJ descriptions/NNS in/IN the/DT amendments/NNS
the/DT intent/NN in/IN protecting/VBG children/NNS
the/DT section/NN in/IN the/DT report/NN
accurate/JJ report/NN in/IN all/DT recorded/VBN
the/DT committee/NN in/IN the/DT judiciary/NN
a/DT transcript/NN in/IN the/DT markup/NN
not/RB aware/JJ in/IN the/DT majority/NN
the/DT committee/NN in/IN the/DT judiciary/NN
have/VBP any/DT in/IN my/PRP$ amendments/NNS
the/DT committee/NN in/IN rules/NNS described/VBD
the/DT purpose/NN in/IN obtaining/VBG an/DT
abortion/NN grandparents/NNS in/IN the/DT minor/JJ
most/RBS conservative/JJ in/IN our/PRP$ colleagues/NNS
a/DT grandparent/NN in/IN the/DT minor/JJ
factual/JJ descriptions/NNS in/IN the/DT amendment/NN
report/NN appearing/VBG in/IN page/NN to/TO
view/NN section/NN in/IN the/DT committee/NN
the/DT section/NN in/IN the/DT report/NN
unpleasant/JJ duty/NN in/IN rising/VBG of/IN
was/VBD one/CD in/IN the/DT great/JJ
the/DT memory/NN in/IN others/NNS who/WP
enough/JJ skill/NN in/IN the/DT part/NN
majority/NN staff/NN in/IN the/DT judiciary/NN
carrying/VBG out/RP in/IN government/NN contracts/NNS
story/NN audit/NN in/IN iraq/JJ spending/NN
uncovered/VBN indications/NNS in/IN fraud/NN and/CC
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT abuse/NN in/IN power/NN in/IN
in/IN power/NN in/IN the/DT republican/JJ
the/DT congress/NN in/IN the/DT united/VBN
floor/NN and/CC in/IN the/DT occasions/NNS
the/DT part/NN in/IN curbing/VBG debate/NN
on/IN all/DT in/IN its/PRP$ proceedings/NNS
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT face/NN in/IN the/DT comity/NN
may/MD disagree/VB in/IN issues/NNS have/VBP
the/DT retelling/NN in/IN their/PRP$ amendments/NNS
the/DT treatment/NN in/IN committee/NN reports/NNS
the/DT alteration/NN in/IN committee/NN reports/NNS
the/DT bounds/NNS in/IN trust/NN that/IN
the/DT leadership/NN in/IN the/DT committee/NN
another/DT extension/NN in/IN the/DT abuse/NN
on/IN power/NN in/IN the/DT republican/JJ
the/DT integrity/NN in/IN our/PRP$ proceedings/NNS
the/DT dignity/NN in/IN this/DT house/NN
the/DT members/NNS in/IN his/PRP$ committee/NN
the/DT perseverance/NN in/IN the/DT american/JJ
the/DT passage/NN in/IN this/DT emergency/NN
on/IN favor/NN in/IN this/DT emergency/NN
the/DT war/NN in/IN terror/NN
additional/JJ complement/VBP in/IN over/IN border/NN
inherent/JJ rights/NNS in/IN every/DT person/NN
the/DT rights/NNS in/IN our/PRP$ most/RBS
with/IN members/NNS in/IN congress/NN and/CC
physical/JJ pain/NN in/IN abortion/NN will/MD
on/IN favor/NN in/IN this/DT bill/NN
that/WDT occurred/VBD in/IN
the/DT purpose/NN in/IN national/JJ security/NN
to/TO completion/NN in/IN the/DT border/NN
that/DT area/NN in/IN that/DT gap/NN
the/DT interest/NN in/IN national/JJ security/NN
the/DT business/NN in/IN professional/JJ transport/NN
the/DT principles/NNS in/IN agency/NN the/DT
the/DT parents/NNS in/IN the/DT young/JJ
to/TO conduct/VB in/IN taxicab/NN drivers/NNS
the/DT business/NN in/IN professional/JJ transport/NN
the/DT business/NN in/IN professional/JJ transport/NN
the/DT character/NN in/IN the/DT person/NN
the/DT character/NN in/IN those/DT trying/VBG
virginian/JJ pilot/NN in/IN this/DT issue/NN
the/DT prohibitions/NNS in/IN this/DT section/NN
the/DT business/NN in/IN professional/JJ transport/NN
a/DT member/NN in/IN the/DT judiciary/NN
the/DT staff/NN in/IN a/DT committee/NN
a/DT committee/NN in/IN which/WDT scott/NN
accused/VBN him/PRP in/IN trying/VBG to/TO
itself/PRP illustrative/JJ in/IN how/WRB deep/JJ
the/DT committee/NN in/IN the/DT judiciary/NN
judiciary/NN markup/NN in/IN this/DT bill/NN
the/DT business/NN in/IN professional/JJ transport/NN
if/IN any/DT in/IN the/DT people/NNS
hr/NN one/CD in/IN the/DT primary/JJ
the/DT committee/NN in/IN the/DT judiciary/NN
primary/JJ purpose/NN in/IN the/DT legislation/NN
the/DT business/NN in/IN professional/JJ transportation/NN
the/DT effect/NN in/IN the/DT amendments/NNS
clear/JJ all/DT in/IN the/DT descriptions/NNS
the/DT intent/NN in/IN anyone/NN offering/VBG
sexual/JJ abusers/NNS in/IN vulnerable/JJ minors/NNS
the/DT chairman/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT sort/NN in/IN course/NN and/CC
the/DT text/NN in/IN the/DT descriptions/NNS
slave/NN act/NN in/IN which/WDT required/VBD
at/IN page/NN in/IN the/DT committee/NN
with/IN all/DT in/IN these/DT facts/NNS
fundamental/JJ rights/NNS in/IN parents/NNS and/CC
the/DT authors/NNS in/IN the/DT amendment/NN
the/DT committee/NN in/IN rules/NNS discovered/VBN
the/DT committee/NN in/IN the/DT judiciary/NN
the/DT form/NN in/IN campaign/NN attack/NN
hardworking/NN members/NNS in/IN this/DT congress/NN
but/CC all/DT in/IN us/PRP here/RB
and/CC all/DT in/IN us/PRP come/VBP
a/DT meeting/NN in/IN the/DT truman/NN
the/DT taxpayers/NNS in/IN the/DT country/NN
country/NN millions/NNS in/IN dollars/NNS during/IN
same/JJ level/NN in/IN accountability/NN today/NN
of/IN behalf/NN in/IN the/DT american/JJ
the/DT line/NN in/IN fire/NN
the/DT inability/NN in/IN this/DT body/NN
the/DT state/NN in/IN the/DT union/NN
as/IN part/NN in/IN the/DT supplemental/JJ
the/DT markup/NN in/IN hr/NN of/IN
carrying/VBG out/RP in/IN warrelated/JJ contracts/NNS
the/DT text/NN in/IN the/DT amendment/NN
the/DT vote/NN in/IN the/DT previous/JJ
for/IN consideration/NN in/IN an/DT amendment/NN
is/VBZ critical/JJ in/IN the/DT united/VBN
the/DT accountability/NN in/IN contractors/NNS and/CC
the/DT allocation/NN in/IN contracts/NNS to/TO
the/DT mischaracterization/NN in/IN the/DT amendments/NNS
a/DT committee/NN in/IN which/WDT i/FW
sad/JJ commentary/NN in/IN this/DT institution/NN
see/VB percent/NN in/IN the/DT violence/NN
changed/VBN anything/NN in/IN
to/TO get/VB in/IN an/DT airplane/NN
that/IN says/VBZ in/IN there/EX the/DT
of/IN place/NN in/IN then/RB every/DT
every/DT one/CD in/IN the/DT hijackers/NNS
have/VB helped/VBN in/IN it/PRP will/MD
the/DT committee/NN in/IN appropriations/NNS is/VBZ
particularly/RB based/VBN in/IN the/DT fact/NN
the/DT rest/NN in/IN the/DT calendar/NN
the/DT committee/NN in/IN appropriations/NNS and/CC
strong/JJ support/NN in/IN hr/NN the/DT
the/DT committee/NN in/IN the/DT judiciary/NN
their/PRP$ backs/NNS in/IN beneficial/JJ extracurricular/JJ
first/JJ district/NN in/IN ohio/NN which/WDT
the/DT city/NN in/IN cincinnati/NNS the/DT
occurred/VBN as/IN in/IN march/NN put/VBD
the/DT city/NN in/IN pace/NN to/TO
important/JJ piece/NN in/IN legislation/NN to/TO
all/DT levels/NNS in/IN government/NN
a/DT year/NN in/IN release/NN
distinguished/JJ author/NN in/IN this/DT amendment/NN
the/DT committee/NN in/IN the/DT judiciary/NN
get/VB rid/JJ in/IN criminals/NNS from/IN
the/DT population/NN in/IN those/DT incarcerated/VBN
tremendous/JJ amount/NN in/IN poverty/NN deprivation/NN
of/IN support/NN in/IN the/DT watersscott/NN
years/NNS based/VBN in/IN the/DT circumstances/NNS
the/DT circumstances/NNS in/IN rather/RB than/IN
one/CD copy/NN in/IN a/DT brief/JJ
brief/JJ explanation/NN in/IN the/DT amendment/NN
the/DT committee/NN in/IN rules/NNS of/IN
room/NN h/NN in/IN the/DT capitol/NN
the/DT office/NN in/IN legislative/JJ counsel/NN
the/DT office/NN in/IN the/DT parliamentarian/NN
the/DT rules/NNS in/IN the/DT house/NN
strong/JJ support/NN in/IN this/DT rule/NN
sitting/VBG here/RB in/IN the/DT floor/NN
is/VBZ six/CD in/IN the/DT amendments/NNS
by/IN members/NNS in/IN the/DT minority/NN
the/DT number/NN in/IN gangrelated/JJ homicides/NNS
but/CC in/IN the/DT remaining/VBG
tragically/RB many/JJ in/IN them/PRP have/VBP
the/DT amendment/NN in/IN the/DT gentleman/NN
additional/JJ years/NNS in/IN incarceration/NN if/IN
the/DT rise/NN in/IN violent/JJ gang/NN
first/RB in/IN all/DT there/EX
on/IN some/DT in/IN these/DT gangs/NNS
to/TO some/DT in/IN the/DT gangs/NNS
also/RB one/CD in/IN the/DT things/NNS
that/IN many/JJ in/IN these/DT gangs/NNS
one/CD part/NN in/IN the/DT country/NN
combined/JJ strength/NN in/IN the/DT federal/JJ
a/DT sign/NN in/IN a/DT billboard/NN
the/DT department/NN in/IN justice/NN estimates/NNS
for/IN cases/NNS in/IN kidnapping/NN aggravated/VBN
chairman/NN sensenbrenner/NN in/IN behalf/NN on/IN
protection/NN act/NN in/IN
to/TO focus/VB in/IN their/PRP$ drug/NN
support/VBP all/DT in/IN the/DT provisions/NNS
the/DT provisions/NNS in/IN hr/NN that/WDT
penalties/NNS clarification/NN in/IN definitions/NNS and/CC
the/DT department/NN in/IN justice/NN estimates/NNS
several/JJ categories/NNS in/IN gangrelated/JJ offense/NN
the/DT designation/NN in/IN certain/JJ locations/NNS
for/IN crimes/NNS in/IN violence/NN
of/IN america/NN in/IN behalf/NN in/IN
in/IN behalf/NN in/IN the/DT national/JJ
support/VBP all/DT in/IN the/DT provisions/NNS
adopt/VB all/DT in/IN the/DT provisions/NNS
s/VBZ capabilities/NNS in/IN combating/VBG the/DT
of/IN behalf/NN in/IN a/DT criminal/JJ
a/DT crime/NN in/IN violence/NN and/CC
of/IN support/NN in/IN this/DT bipartisan/JJ
a/DT lot/NN in/IN talk/NN about/IN
the/DT provisions/NNS in/IN this/DT bill/NN
are/VBP praying/VBG in/IN our/PRP$ communities/NNS
the/DT opponents/NNS in/IN this/DT bill/NN
the/DT department/NN in/IN justice/NN i/FW
the/DT purpose/NN in/IN amendment/NN and/CC
the/DT committee/NN in/IN rules/NNS report/VBP
the/DT committee/NN in/IN the/DT whole/NN
with/IN pounds/NNS in/IN meth/NN crystal/NN
the/DT war/NN in/IN crime/NN today/NN
the/DT dismantling/VBG in/IN the/DT systems/NNS
other/JJ forms/NNS in/IN organized/JJ crime/NN
the/DT center/NN in/IN drug/NN violence/NN
and/CC many/JJ in/IN the/DT deadly/JJ
the/DT formation/NN in/IN gangs/NNS by/IN
minimal/JJ sentencing/NN in/IN much/JJ shorter/JJR
a/DT badge/NN in/IN honor/NN socalled/JJ
the/DT support/NN in/IN democrats/NNS at/IN
many/JJ headlines/NNS in/IN late/JJ have/VBP
have/VBP reflected/VBN in/IN growing/VBG gang/NN
is/VBZ also/RB in/IN the/DT rise/NN
crack/VB down/RP in/IN gangs/NNS comprised/VBN
gangs/NNS comprised/VBN in/IN illegal/JJ aliens/NNS
the/DT level/NN in/IN gang/NN activity/NN
the/DT number/NN in/IN illegal/JJ aliens/NNS
the/DT existence/NN in/IN at/IN least/JJS
up/RP percent/NN in/IN the/DT membership/NN
the/DT membership/NN in/IN ms/NNS and/CC
and/CC percent/NN in/IN the/DT membership/NN
