of/IN matters/NNS on/IN constitutionality/NN
first/RB on/IN all/DT i/FW
later/RB in/IN on/IN the/DT day/NN
standing/NN today/NN on/IN general/JJ debate/NN
on/IN fact/NN i/FW
more/RBR independent/JJ on/IN foreign/JJ oil/NN
domestic/JJ drilling/NN on/IN a/DT safe/JJ
on/IN the/DT united/VBN
additional/JJ changes/NNS on/IN gasoline/NN specifications/NNS
a/DT sense/NN on/IN the/DT congress/NN
the/DT administrator/NN on/IN the/DT energy/NN
the/DT causes/NNS on/IN high/JJ gasoline/NN
states/NNS and/CC on/IN collaboration/NN with/IN
the/DT effects/NNS on/IN rising/VBG energy/NN
the/DT chairman/NN on/IN the/DT subcommittee/NN
the/DT billion/CD on/IN funding/NN provided/VBN
army/NN corps/NN on/IN engineers/NNS but/CC
serious/JJ issue/NN on/IN my/PRP$ district/NN
for/IN nonproliferation/NN on/IN nuclear/JJ weapons/NNS
the/DT billion/CD on/IN funding/NN provided/VBN
army/NN corps/NN on/IN engineers/NNS but/CC
ranking/JJ member/NN on/IN the/DT energy/NN
march/VBP in/IN on/IN war/NN and/CC
ask/VB people/NNS on/IN the/DT occupied/JJ
territories/NNS or/CC on/IN korea/NN or/CC
korea/NN or/CC on/IN south/JJ asia/NN
not/RB made/VBN on/IN order/NN
whole/JJ communities/NNS on/IN people/NNS to/TO
in/IN exploration/NN on/IN a/DT lowyield/JJ
the/DT balance/NN on/IN my/PRP$ time/NN
the/DT overreliance/NN on/IN the/DT united/VBN
a/DT goal/NN on/IN taking/VBG a/DT
energy/NN independence/NN on/IN the/DT following/JJ
which/WDT has/VBZ on/IN that/DT reserve/NN
million/CD barrels/NNS on/IN oil/NN allowing/VBG
my/PRP$ part/NN on/IN the/DT country/NN
s/VBZ future/NN on/IN the/DT fields/NNS
the/DT fields/NNS on/IN the/DT future/NN
be/VB stored/VBN on/IN the/DT form/NN
the/DT form/NN on/IN the/DT raw/JJ
of/IN behalf/NN on/IN the/DT over/JJ
we/PRP write/VBP on/IN strong/JJ support/NN
the/DT citizens/NNS on/IN pascoag/NN rhode/VBD
of/IN support/NN on/IN the/DT capps/NNS
the/DT millions/NNS on/IN dollars/NNS that/IN
the/DT management/NN on/IN energy/NN resources/NNS
the/DT royalties/NNS on/IN kind/NN provision/NN
the/DT secretary/NN on/IN the/DT department/NN
the/DT department/NN on/IN the/DT interior/NN
a/DT number/NN on/IN my/PRP$ colleagues/NNS
of/IN some/DT on/IN these/DT provisions/NNS
multiple/JJ uses/NNS on/IN the/DT mississippi/NNS
in/IN us/PRP on/IN that/DT region/NN
on/IN it/PRP the/DT
the/DT river/NN on/IN mark/NN twain/NN
contrary/NN is/VBZ on/IN all/DT ways/NNS
vista/NN park/NN on/IN alma/JJ wis/NN
see/VB one/CD on/IN the/DT most/RBS
of/IN all/DT on/IN north/JJ america/NN
the/DT town/NN on/IN cassville/NN wis/NN
the/DT riverbank/NN on/IN the/DT upper/JJ
softspoken/JJ gentleman/NN on/IN a/DT flannel/NN
the/DT end/NN on/IN the/DT bar/NN
the/DT pleasures/NNS on/IN living/NN of/IN
is/VBZ one/CD on/IN in/IN the/DT
lower/JJR especially/RB on/IN the/DT dead/JJ
hour/NN north/NN on/IN genoa/NN in/IN
true/JJ some/RB on/IN it/PRP s/VBZ
that/IN part/NN on/IN the/DT appeal/NN
told/VBD tales/NNS on/IN riverrunning/VBG bootleggers/NNS
the/DT resurgence/NN on/IN that/DT ornithological/JJ
twohor/NN cruise/NN on/IN his/PRP$ old/JJ
allowed/VBD each/DT on/IN us/PRP of/IN
we/PRP sit/VBP on/IN this/DT country/NN
canada/VB out/RP on/IN the/DT area/NN
going/VBG in/IN on/IN that/DT region/NN
one/CD on/IN these/DT esteemed/VBN
any/DT more/RBR on/IN the/DT fertilizer/NN
of/IN some/DT on/IN the/DT parts/NNS
the/DT economy/NN on/IN the/DT west/NN
a/DT difference/NN on/IN opinion/NN with/IN
creates/VBZ only/RB on/IN economic/JJ value/NN
of/IN favor/NN on/IN a/DT federal/JJ
the/DT oil/NN on/IN the/DT st/JJ
the/DT basis/NN on/IN life/NN in/IN
the/DT number/NN on/IN department/NN in/IN
national/JJ academy/NN on/IN science/NN study/NN
promises/VBZ more/RBR on/IN the/DT same/JJ
great/JJ leadership/NN on/IN the/DT chairman/NN
the/DT kind/NN on/IN important/JJ work/NN
the/DT proponents/NNS on/IN this/DT bill/NN
cost/NN regardless/RB on/IN the/DT effect/NN
allowing/VBG drilling/NN on/IN the/DT arctic/JJ
such/JJ as/IN on/IN my/PRP$ own/JJ
policies/NNS contained/VBN on/IN this/DT legislation/NN
s/VBZ billion/CD on/IN oil/NN and/CC
greater/JJR use/NN on/IN renewable/JJ sources/NNS
renewable/JJ sources/NNS on/IN energy/NN
this/DT time/NN on/IN history/NN it/PRP
the/DT gulf/NN on/IN mexico/NN
the/DT middle/NN on/IN densely/RB populated/VBN
populated/VBN cities/NNS on/IN our/PRP$ country/NN
the/DT middle/NN on/IN densely/RB populated/VBN
public/JJ uses/NNS on/IN our/PRP$ nation/NN
that/IN inside/IN on/IN the/DT bill/NN
you/PRP think/VBP on/IN all/PDT the/DT
comes/VBZ out/RP on/IN smokestacks/NNS that/WDT
being/VBG created/VBN on/IN order/NN for/IN
can/MD live/VB on/IN a/DT modern/JJ
the/DT majority/NN on/IN its/PRP$ wisdom/NN
very/RB typical/JJ on/IN the/DT entire/JJ
of/IN top/JJ on/IN any/DT other/JJ
pristine/JJ area/NN on/IN our/PRP$ country/NN
technological/JJ genius/NN on/IN our/PRP$ country/NN
in/IN electricity/NN on/IN this/DT marketplace/NN
refuges/VBZ drilling/NN on/IN the/DT arctic/JJ
first/JJ step/NN on/IN lifting/VBG the/DT
instead/RB on/IN making/VBG those/DT
of/IN top/NN on/IN the/DT arctic/JJ
wildlife/NN refuge/NN on/IN order/NN to/TO
congress/NN because/RB on/IN the/DT energy/NN
a/DT doubling/VBG on/IN the/DT standards/NNS
the/DT moon/NN on/IN years/NNS
rich/JJ assortment/NN on/IN tax/NN and/CC
already/RB drowning/VBG on/IN windfall/NN profits/NNS
another/DT series/NN on/IN alternatives/NNS that/WDT
rich/JJ assortment/NN on/IN tax/NN and/CC
would/MD result/VB on/IN only/RB negligible/JJ
is/VBZ one/CD on/IN whether/IN or/CC
the/DT middle/NN on/IN your/PRP$ district/NN
most/RBS attractive/JJ on/IN all/DT terrorist/JJ
the/DT number/NN on/IN pages/NNS on/IN
on/IN pages/NNS on/IN this/DT amendment/NN
in/IN industry/NN on/IN whatever/WDT kind/JJ
for/IN first/JJ on/IN first/JJ out/IN
considerations/NNS instead/RB on/IN market/NN considerations/NNS
a/DT mountain/NN on/IN cash/NN looking/VBG
the/DT mountain/NN on/IN oil/NN prices/NNS
i/FW proposed/VBN on/IN the/DT committee/NN
the/DT floor/NN on/IN this/DT house/NN
against/IN consideration/NN on/IN the/DT rule/NN
page/NN line/NN on/IN h/NN res/VBZ
local/JJ governments/NNS on/IN violation/NN in/IN
socalled/JJ champions/NNS on/IN states/NNS rights/NNS
specifically/RB section/NN on/IN the/DT energy/NN
water/NN supplies/NNS on/IN communities/NNS all/DT
waive/VB points/NNS on/IN order/NN against/IN
preliminary/JJ review/NN on/IN hr/NN the/DT
the/DT house/NN on/IN representatives/NNS in/IN
our/PRP$ review/NN on/IN the/DT bill/NN
preemptions/NNS contained/VBN on/IN the/DT bill/NN
other/JJ causes/NNS on/IN action/NN such/JJ
at/IN least/JJS on/IN part/NN in/IN
in/IN claims/NNS on/IN defective/JJ product/NN
in/IN judgments/NNS on/IN favor/NN in/IN
aggregate/JJ cost/NN on/IN the/DT privatesector/NN
threshold/NN established/VBN on/IN umra/NN primarily/RB
mentioned/VBN once/RB on/IN this/DT bill/NN
heavy/JJ hand/NN on/IN the/DT committee/NN
the/DT price/NN on/IN gas/NN at/IN
renewable/JJ sources/NNS on/IN energy/NN what/WP
the/DT department/NN on/IN homeland/NN security/NN
security/NN warned/VBD on/IN an/DT increase/NN
increase/NN risk/NN on/IN terrorist/JJ attacks/NNS
real/JJ problem/NN on/IN many/JJ communities/NNS
amendments/NNS made/VBN on/IN order/NN
the/DT rules/NNS on/IN the/DT house/NN
issued/VBD thousands/NNS on/IN press/NN releases/NNS
new/JJ boundaries/NNS on/IN innovation/NN and/CC
the/DT dangers/NNS on/IN this/DT to/TO
up/RP when/WRB on/IN fact/NN the/DT
the/DT strength/NN on/IN our/PRP$ country/NN
unstable/JJ countries/NNS on/IN the/DT world/NN
the/DT hands/NNS on/IN those/DT countries/NNS
greater/JJR levels/NNS on/IN fuel/NN efficiency/NN
the/DT day/NN on/IN reckoning/VBG
the/DT sake/NN on/IN the/DT future/NN
the/DT future/NN on/IN our/PRP$ country/NN
the/DT situation/NN on/IN developing/VBG nations/NNS
the/DT department/NN on/IN energy/NN in/IN
a/DT majority/NN on/IN the/DT fuel/NN
electricity/NN most/RBS on/IN our/PRP$ economy/NN
in/IN some/DT on/IN america/NN s/VBZ
domestic/JJ sources/NNS on/IN domestic/JJ oil/NN
the/DT price/NN on/IN fertilizer/NN which/WDT
in/IN years/NNS on/IN hard/JJ dedicated/JJ
paying/VBG upwards/RB on/IN a/DT gallon/NN
the/DT floor/NN on/IN the/DT house/NN
each/DT on/IN these/DT amendments/NNS
advanced/JJ nation/NN on/IN the/DT world/NN
advance/NN appropriation/NN on/IN the/DT elk/NN
headquarters/NN building/NN on/IN the/DT department/NN
square/JJ feet/NNS on/IN power/NN generating/VBG
spend/VB onethird/NN on/IN its/PRP$ operating/NN
other/JJ place/NN on/IN the/DT world/NN
going/VBG of/IN on/IN whether/IN or/CC
this/DT nation/NN on/IN nearly/RB years/NNS
for/IN twothirds/NNS on/IN the/DT strategic/JJ
their/PRP$ economy/NN on/IN order/NN to/TO
to/TO set/VB on/IN place/NN
the/DT consumers/NNS on/IN this/DT nation/NN
in/IN availability/NN on/IN labor/NN
commend/VB four/CD on/IN our/PRP$ ranking/JJ
rahall/NN xz/NN on/IN the/DT committee/NN
rangel/NN xz/NN on/IN the/DT committee/NN
gordon/NN xz/NN on/IN the/DT committee/NN
exceptional/JJ leadership/NN on/IN presenting/VBG an/DT
take/VB care/NN on/IN our/PRP$ own/JJ
own/JJ department/NN on/IN energy/NN this/DT
and/CC some/DT on/IN the/DT members/NNS
addressed/VBD some/DT on/IN these/DT concerns/NNS
the/DT provisions/NNS on/IN this/DT bill/NN
breathtaking/JJ example/NN on/IN pandering/VBG to/TO
subsidies/NNS billion/CD on/IN subsidies/NNS to/TO
the/DT bill/NN on/IN the/DT last/JJ
outdated/JJ boondoggle/NN on/IN an/DT energy/NN
the/DT health/NN on/IN america/NN s/VBZ
the/DT cost/NN on/IN killing/VBG the/DT
to/TO invest/VB on/IN r/NN amp/NN
the/DT inventiveness/NN on/IN our/PRP$ citizens/NNS
the/DT kind/NN on/IN policies/NNS that/IN
the/DT part/NN on/IN congress/NN to/TO
coming/VBG out/RP on/IN the/DT resources/NNS
the/DT department/NN on/IN energy/NN is/VBZ
both/DT sides/NNS on/IN the/DT aisle/NN
from/IN participating/VBG on/IN this/DT program/NN
the/DT operations/NNS on/IN hydropower/NN projects/NNS
comprehensive/JJ analysis/NN on/IN their/PRP$ impacts/NNS
independent/JJ review/NN on/IN these/DT conditions/NNS
it/PRP out/RP on/IN this/DT bill/NN
this/DT all/DT on/IN it/PRP is/VBZ
every/DT newspaper/NN on/IN my/PRP$ congressional/JJ
both/DT sides/NNS on/IN the/DT aisle/NN
great/JJ job/NN on/IN focusing/VBG of/IN
we/PRP had/VBD on/IN arizona/NN last/JJ
a/DT couple/NN on/IN times/NNS with/IN
with/IN this/DT on/IN mind/NN i/FW
corps/NN project/NN on/IN my/PRP$ district/NN
a/DT course/NN on/IN increased/VBN oil/NN
tomorrow/NN because/RB on/IN its/PRP$ current/JJ
of/IN drilling/NN on/IN the/DT form/NN
has/VBZ plenty/NN on/IN allies/NNS
the/DT coasts/NNS on/IN california/NN and/CC
and/CC bp/NN on/IN the/DT s/PRP
heightened/VBN because/IN on/IN the/DT former/JJ
kerry/NN said/VBD on/IN last/JJ year/NN
with/IN those/DT on/IN republicans/NNS of/IN
broad/JJ range/NN on/IN issues/NNS including/VBG
initial/JJ pronouncements/NNS on/IN the/DT bush/JJ
but/CC on/IN addition/NN to/TO
pure/JJ mechanics/NNS on/IN the/DT escalator/NN
on/IN shell/NN exxon/NN
the/DT success/NN on/IN those/DT lawsuits/NNS
first/JJ attempt/NN on/IN by/IN the/DT
republican/JJ side/NN on/IN the/DT aisle/NN
against/IN one/CD on/IN their/PRP$ own/JJ
substantial/JJ portion/NN on/IN the/DT vehicles/NNS
gas/NN drilling/NN on/IN and/CC in/IN
our/PRP$ amendment/NN on/IN order/NN
the/DT size/NN on/IN the/DT ou/NN
about/IN drilling/NN on/IN would/MD be/VB
oil/NN especially/RB on/IN areas/NNS around/IN
is/VBZ one/CD on/IN the/DT most/RBS
vote/VB of/IN on/IN the/DT th/NN
of/IN fact/NN on/IN my/PRP$ district/NN
about/IN percent/NN on/IN the/DT households/NNS
of/IN fact/NN on/IN maine/NN a/DT
bill/NN we/PRP on/IN the/DT committee/NN
the/DT infrastructure/NN on/IN this/DT country/NN
the/DT backbone/NN on/IN our/PRP$ energy/NN
next/JJ quarter/NN on/IN a/DT century/NN
before/IN any/DT on/IN the/DT innovative/JJ
they/PRP include/VBP on/IN their/PRP$ entirety/NN
tax/NN section/NN on/IN the/DT majority/NN
first/RB on/IN all/DT i/FW
the/DT face/NN on/IN the/DT mona/NN
good/JJ summary/NN on/IN what/WP could/MD
the/DT detriment/NN on/IN our/PRP$ environment/NN
jobs/NNS and/CC on/IN coloradans/NNS who/WP
a/DT vision/NN on/IN a/DT clean/JJ
the/DT magnitude/NN on/IN the/DT crisis/NN
not/RB engaged/VBN on/IN a/DT civil/JJ
pressing/VBG matter/NN on/IN national/JJ security/NN
the/DT department/NN on/IN energy/NN and/CC
creating/VBG hundreds/NNS on/IN new/JJ domestic/JJ
one/CD on/IN the/DT things/NNS
the/DT migration/NN on/IN these/DT caribou/NN
the/DT state/NN on/IN alaska/NN to/TO
the/DT destruction/NN on/IN this/DT migration/NN
the/DT history/NN on/IN uranium/NN mining/NN
unnecessary/JJ act/NN on/IN corporate/JJ welfare/NN
the/DT health/NN on/IN workers/NNS and/CC
an/DT office/NN on/IN environmental/JJ justice/NN
order/NN remain/VBP on/IN force/NN until/IN
in/IN life/NN on/IN americans/NNS on/IN
on/IN americans/NNS on/IN minority/NN and/CC
the/DT development/NN on/IN data/NNS and/CC
concerns/NNS part/NN on/IN their/PRP$ missions/NNS
or/CC environment/NN on/IN minority/NN lowincome/NN
the/DT effects/NNS on/IN facilities/NNS in/IN
and/CC environment/NN on/IN minority/NN lowincome/NN
the/DT minds/NNS on/IN many/JJ americans/NNS
on/IN addition/NN there/EX
roughly/RB percent/NN on/IN our/PRP$ oil/NN
a/DT time/NN on/IN record/NN profits/NNS
foreign/JJ sources/NNS on/IN oil/NN and/CC
on/IN this/DT bill/NN
go/VB more/RBR on/IN terms/NNS on/IN
on/IN terms/NNS on/IN incentives/NNS so/IN
take/VB advantage/NN on/IN those/DT incentives/NNS
laundry/NN list/NN on/IN these/DT different/JJ
our/PRP$ history/NN on/IN purchasing/VBG cars/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
fiscal/JJ year/NN on/IN million/CD the/DT
the/DT concerns/NNS on/IN the/DT committee/NN
a/DT number/NN on/IN important/JJ issues/NNS
funding/NN level/NN on/IN fy/NN in/IN
on/IN developing/VBG its/PRP$
the/DT results/NNS on/IN the/DT gao/NN
the/DT requirements/NNS on/IN the/DT nuclear/JJ
two/CD subsets/NNS on/IN our/PRP$ work/NN
every/DT one/CD on/IN them/PRP was/VBD
subrogation/NN provision/NN on/IN the/DT price/NN
anderson/NN section/NN on/IN hr/NN
of/IN most/JJS on/IN the/DT government/NN
the/DT advancement/NN on/IN technology/NN and/CC
both/DT sides/NNS on/IN the/DT aisle/NN
the/DT cost/NN on/IN a/DT gallon/NN
a/DT gallon/NN on/IN gasoline/NN which/WDT
billions/NNS more/RBR on/IN royalty/NN relief/NN
the/DT cost/NN on/IN gasoline/NN and/CC
republicans/NNS on/IN congress/NN say/VBP
poor/JJ woman/NN on/IN florida/NN
and/CC on/IN this/DT socalled/JJ
to/TO me/PRP on/IN allowing/VBG me/PRP
to/TO lead/VB on/IN an/DT effort/NN
the/DT people/NNS on/IN california/NN pitched/VBN
reduce/VB some/DT on/IN the/DT waste/NN
the/DT side/NN on/IN trying/VBG to/TO
of/IN favor/NN on/IN the/DT proposal/NN
republican/JJ leadership/NN on/IN the/DT house/NN
republican/JJ side/NN on/IN the/DT chamber/NN
allow/VB anybody/NN on/IN this/DT chamber/NN
strike/VB be/VB on/IN order/NN they/PRP
a/DT point/NN on/IN order/NN raised/VBN
this/DT way/NN on/IN bringing/VBG the/DT
future/JJ generations/NNS on/IN americans/NNS a/DT
strong/JJ support/NN on/IN hr/NN balanced/JJ
bipartisan/JJ support/NN on/IN the/DT house/NN
domestic/JJ sources/NNS on/IN energy/NN
consumeroriented/JJ provision/NN on/IN this/DT legislation/NN
the/DT majority/NN on/IN our/PRP$ energy/NN
renewable/JJ sources/NNS on/IN energy/NN conservation/NN
be/VB found/VBN on/IN this/DT immoral/JJ
most/RBS significant/JJ on/IN all/DT mr/FW
drilling/NN on/IN anwr/NN will/MD
be/VB there/RB on/IN the/DT first/JJ
the/DT threat/NN on/IN terrorism/NN
both/DT sides/NNS on/IN the/DT aisle/NN
join/VB me/PRP on/IN this/DT effort/NN
in/IN reprogramming/VBG on/IN funds/NNS and/CC
contracts/NNS contained/VBN on/IN this/DT bill/NN
a/DT lot/NN on/IN money/NN will/MD
good/JJ piece/NN on/IN legislation/NN that/WDT
our/PRP$ process/NN on/IN becoming/VBG independent/JJ
the/DT floor/NN on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS
of/IN top/NN on/IN this/DT i/FW
national/JJ conference/NN on/IN state/NN legislatures/NNS
its/PRP$ inclusion/NN on/IN unfunded/JJ federal/JJ
the/DT adoption/NN on/IN this/DT legislation/NN
your/PRP$ consideration/NN on/IN our/PRP$ concerns/NNS
the/DT heels/NNS on/IN a/DT colorado/NN
spearheaded/VBD back/RB on/IN march/NN
the/DT majority/NN on/IN our/PRP$ energy/NN
in/IN millions/NNS on/IN dollars/NNS maybe/RB
the/DT economy/NN on/IN louisiana/NN and/CC
the/DT heart/NN on/IN what/WP we/PRP
encourage/VB investment/NN on/IN renewable/JJ energy/NN
contributors/NNS instead/RB on/IN what/WP it/PRP
a/DT member/NN on/IN the/DT committee/NN
seven/CD percent/NN on/IN the/DT tax/NN
the/DT chairman/NN on/IN the/DT committee/NN
science/NN are/VBP on/IN the/DT business/NN
the/DT business/NN on/IN making/VBG science/NN
many/JJ on/IN you/PRP have/VBP
drove/VBN by/IN on/IN his/PRP$ jeep/NN
a/DT barrel/NN on/IN oil/NN or/CC
the/DT conviction/NN on/IN sexual/JJ predators/NNS
a/DT series/NN on/IN amendments/NNS made/VBN
depend/VBP we/PRP on/IN the/DT minority/NN
were/VBD breached/VBN on/IN the/DT case/NN
by/IN direction/NN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT house/NN
full/JJ funding/NN on/IN the/DT important/JJ
afghan/JJ people/NNS on/IN their/PRP$ efforts/NNS
functioning/VBG democracies/NNS on/IN their/PRP$ countries/NNS
front/JJ page/NN on/IN the/DT washington/NN
terrible/JJ effects/NNS on/IN the/DT war/NN
are/VBP engaged/VBN on/IN the/DT battle/NN
this/DT image/NN on/IN mind/NN as/IN
i/FW believe/VB on/IN this/DT discussion/NN
full/JJ support/NN on/IN the/DT battles/NNS
the/DT cause/NN on/IN liberty/NN
the/DT purpose/NN on/IN clarification/NN i/FW
the/DT chairman/NN on/IN the/DT committee/NN
place/VB it/PRP on/IN the/DT lt/NN
the/DT questions/NNS on/IN privilege/NN raised/VBN
the/DT interpretation/NN on/IN the/DT amendments/NNS
the/DT chairman/NN on/IN the/DT committee/NN
after/IN line/NN on/IN great/JJ specificity/NN
the/DT commitment/NN on/IN iraq/NN
other/JJ body/NN on/IN my/PRP$ friends/NNS
other/JJ side/NN on/IN the/DT aisle/NN
who/WP voted/VBD on/IN favor/NN on/IN
on/IN favor/NN on/IN this/DT particular/JJ
on/IN closing/VBG i/FW
upon/IN adoption/NN on/IN this/DT resolution/NN
shall/MD be/VB on/IN order/NN to/TO
referred/VBD to/TO on/IN subsection/NN a/DT
the/DT text/NN on/IN which/WDT is/VBZ
the/DT model/NN on/IN the/DT truman/NN
carrying/VBG out/RP on/IN contracts/NNS to/TO
conduct/VB activities/NNS on/IN afghanistan/NN and/CC
conduct/VB activities/NNS on/IN afghanistan/NN and/CC
the/DT issuance/NN on/IN government/NN contracts/NNS
procedures/NNS forms/NNS on/IN payment/NN and/CC
laundering/NN accountability/NN on/IN contractors/NNS and/CC
officials/NNS involved/VBN on/IN procurement/NN penalties/NNS
and/CC abuses/NNS on/IN the/DT awarding/NN
carrying/VBG out/RP on/IN government/NN contracts/NNS
and/CC utilization/NN on/IN small/JJ businesses/NNS
the/DT balance/NN on/IN my/PRP$ time/NN
the/DT intentions/NNS on/IN the/DT members/NNS
is/VBZ true/JJ on/IN the/DT amendment/NN
we/PRP inquire/VB on/IN the/DT distinguished/JJ
distinguished/JJ chairman/NN on/IN the/DT committee/NN
a/DT member/NN on/IN the/DT committee/NN
about/IN anything/NN on/IN the/DT debate/NN
ranking/JJ member/NN on/IN the/DT committee/NN
the/DT members/NNS on/IN the/DT committee/NN
deliberate/JJ mischaracterization/NN on/IN amendments/NNS be/VB
the/DT floor/NN on/IN the/DT house/NN
the/DT end/NN on/IN next/JJ week/NN
new/JJ chairman/NN on/IN the/DT committee/NN
important/JJ aspect/NN on/IN ensuring/VBG that/IN
the/DT midst/NN on/IN the/DT war/NN
the/DT privilege/NN on/IN serving/VBG with/IN
a/DT number/NN on/IN our/PRP$ colleagues/NNS
the/DT implementation/NN on/IN the/DT recommendations/NNS
those/DT on/IN us/PRP who/WP
the/DT issues/NNS on/IN driver/NN s/VBZ
our/PRP$ goal/NN on/IN putting/VBG into/IN
a/DT role/NN on/IN diminishing/VBG that/IN
the/DT aisle/NN on/IN implementation/NN in/IN
states/NNS house/NN on/IN representatives/NNS overwhelmingly/RB
every/DT one/CD on/IN the/DT members/NNS
the/DT members/NNS on/IN the/DT committee/NN
the/DT job/NN on/IN the/DT committee/NN
the/DT conscience/NN on/IN all/DT in/IN
we/PRP collectively/RB on/IN our/PRP$ hearts/NNS
am/VBP ashamed/JJ on/IN that/DT
the/DT accuracy/NN on/IN the/DT letter/NN
the/DT letter/NN on/IN terms/NNS on/IN
on/IN terms/NNS on/IN the/DT numbers/NNS
the/DT numbers/NNS on/IN people/NNS but/CC
fair/JJ number/NN on/IN people/NNS there/EX
some/DT point/NN on/IN time/NN
the/DT practice/NN on/IN house/NN report/NN
the/DT laws/NNS on/IN this/DT land/NN
land/NN because/IN on/IN the/DT lack/NN
the/DT lack/NN on/IN judiciousness/NN on/IN
on/IN judiciousness/NN on/IN the/DT writing/NN
the/DT writing/NN on/IN a/DT report/NN
ranking/JJ member/NN on/IN the/DT committee/NN
the/DT constituents/NNS on/IN my/PRP$ colleagues/NNS
as/IN representative/NN on/IN his/PRP$ true/JJ
and/CC then/RB on/IN course/NN it/PRP
was/VBD rendered/VBN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
what/WP section/NN on/IN the/DT rule/NN
res/VBZ section/NN on/IN the/DT rule/NN
fully/RB protective/JJ on/IN the/DT privileges/NNS
carrying/VBG out/RP on/IN government/NN contracts/NNS
it/PRP expired/VBD on/IN the/DT truman/NN
nearly/RB billion/CD on/IN money/NN spent/VBN
for/IN because/RB on/IN inefficiencies/NNS and/CC
us/PRP contracting/VBG on/IN both/DT military/JJ
that/IN those/DT on/IN us/PRP who/WP
counsel/NN because/IN on/IN some/DT tragedy/NN
the/DT debate/NN on/IN the/DT committee/NN
the/DT floor/NN on/IN the/DT house/NN
be/VB out/RP on/IN the/DT pipeline/NN
be/VB out/RP on/IN the/DT child/NN
be/VB engaged/VBN on/IN incest/NN
the/DT rash/NN on/IN attacks/NNS in/IN
killed/VBD just/RB on/IN the/DT last/JJ
a/DT couple/NN on/IN years/NNS ago/RB
as/IN cochair/NN on/IN the/DT congressional/JJ
the/DT cases/NNS on/IN texas/NNS
the/DT extending/VBG on/IN any/DT criminal/JJ
the/DT question/NN on/IN choice/NN parental/JJ
the/DT rules/NNS on/IN this/DT house/NN
this/DT question/NN on/IN the/DT committee/NN
the/DT correction/NN on/IN that/DT time/NN
we/PRP stand/VBP on/IN debate/NN with/IN
the/DT flag/NN on/IN the/DT united/VBN
the/DT words/NNS on/IN god/NN we/PRP
an/DT effort/NN on/IN a/DT moment/NN
a/DT moment/NN on/IN evenhandedness/NN to/TO
this/DT kind/NN on/IN mischaracterization/NN not/RB
and/CC integrity/NN on/IN the/DT process/NN
the/DT work/NN on/IN an/DT individual/JJ
freeway/NN yesterday/NN on/IN texas/NNS because/IN
texas/NNS because/IN on/IN the/DT amber/NN
that/IN all/DT on/IN the/DT members/NNS
the/DT members/NNS on/IN this/DT house/NN
an/DT issue/NN on/IN sexual/JJ predator/NN
ranking/JJ member/NN on/IN the/DT committee/NN
sole/JJ purpose/NN on/IN distorting/VBG the/DT
original/JJ intent/NN on/IN the/DT authors/NNS
the/DT staff/NN on/IN the/DT committee/NN
being/VBG made/VBN on/IN the/DT committee/NN
a/DT president/NN on/IN the/DT united/VBN
vigorously/RB disagree/VBP on/IN a/DT manner/NN
to/TO debate/VB on/IN this/DT body/NN
it/PRP be/VB on/IN committee/NN or/CC
and/CC that/VBP on/IN that/DT disagreement/NN
the/DT instance/NN on/IN the/DT committee/NN
the/DT judiciary/NN on/IN this/DT occasion/NN
cartels/NNS influence/NN on/IN the/DT united/VBN
the/DT growth/NN on/IN drug/NN cartels/NNS
complete/JJ opposite/NN on/IN your/PRP$ intent/NN
greater/JJR attention/NN on/IN this/DT body/NN
the/DT brink/NN on/IN abuse/NN and/CC
ultimately/RB corrected/VBN on/IN the/DT waning/VBG
the/DT mind/NN on/IN a/DT colleague/NN
the/DT intent/NN on/IN that/DT member/NN
best/JJS approach/NN on/IN that/DT particular/JJ
that/DT member/NN on/IN that/DT committee/NN
a/DT lot/NN on/IN papers/NNS here/RB
were/VBD made/VBN on/IN the/DT debate/NN
the/DT hand/NN on/IN the/DT divinity/NN
the/DT committee/NN on/IN the/DT rules/NNS
republican/JJ leadership/NN on/IN the/DT committee/NN
lee/NN offered/VBN on/IN committee/NN in/IN
in/IN April/NNP on/IN room/NN in/IN
the/DT impact/NN on/IN the/DT number/NN
the/DT import/NN on/IN the/DT very/RB
ranking/JJ member/NN on/IN the/DT committee/NN
a/DT wealth/NN on/IN time/NN and/CC
ranking/JJ member/NN on/IN the/DT committee/NN
his/PRP$ resolution/NN on/IN privilege/NN h/VBP
the/DT privileges/NNS on/IN dignity/NN and/CC
the/DT integrity/NN on/IN the/DT house/NN
the/DT constituents/NNS on/IN my/PRP$ colleagues/NNS
as/IN representative/NN on/IN his/PRP$ true/JJ
ranking/VBG member/NN on/IN the/DT house/NN
democratic/JJ members/NNS on/IN congress/NN whom/WP
recorded/VBN votes/NNS on/IN the/DT judiciary/NN
committee/NN markup/NN on/IN hr/NN the/DT
these/DT amendments/NNS on/IN their/PRP$ official/JJ
sole/JJ purpose/NN on/IN distorting/VBG the/DT
original/JJ intent/NN on/IN the/DT authors/NNS
original/JJ intent/NN on/IN that/DT legislation/NN
last/JJ night/NN on/IN the/DT rules/NNS
