highest/JJS body/NN of/IN elected/VBN officials/NNS 
the/DT influx/NN of/IN those/DT gangs/NNS 
many/JJ of/IN the/DT individuals/NNS 
i/FW have/VBP of/IN hr/NN is/VBZ 
early/JJ time/NN of/IN my/PRP$ career/NN 
out/RP those/DT of/IN us/PRP who/WP 
this/DT question/NN of/IN intervention/NN 
national/JJ meetings/NNS of/IN the/DT subcommittee/NN 
the/DT importance/NN of/IN intervention/NN on/IN 
fact/NN out/IN of/IN that/DT came/VBD 
the/DT plight/NN of/IN those/DT young/JJ 
the/DT kind/NN of/IN educational/JJ structure/NN 
judicial/JJ review/NN of/IN the/DT attorney/NN 
the/DT circumstances/NNS of/IN that/DT violent/JJ 
previous/JJ history/NN of/IN this/DT year/NN 
and/CC balances/NNS of/IN that/IN the/DT 
judicial/JJ review/NN of/IN that/DT kind/NN 
that/DT kind/NN of/IN difficult/JJ decision/NN 
those/DT kind/NN of/IN protections/NNS 
the/DT question/NN of/IN illegal/JJ transfer/NN 
illegal/JJ transfer/NN of/IN a/DT firearm/NN 
a/DT question/NN of/IN mistaken/JJ identity/NN 
a/DT question/NN of/IN a/DT big/JJ 
large/JJ numbers/NNS of/IN people/NNS from/IN 
the/DT members/NNS of/IN congress/NN raised/VBD 
am/VBP delighted/JJ of/IN the/DT position/NN 
the/DT position/NN of/IN the/DT gentleman/NN 
largest/JJS number/NN of/IN americans/NNS and/CC 
a/DT record/NN of/IN incarcerating/VBG people/NNS 
deny/VB families/NNS of/IN their/PRP$ loved/VBN 
the/DT ability/NN of/IN young/JJ people/NNS 
violence/NN and/CC of/IN course/NN gang/NN 
protection/NN act/NN of/IN 
and/CC chair/NN of/IN the/DT congressional/JJ 
to/TO groups/NNS of/IN people/NNS or/CC 
young/JJ groups/NNS of/IN people/NNS we/PRP 
the/DT essence/NN of/IN crafting/VBG law/NN 
judicial/JJ review/NN of/IN a/DT prosecutor/NN 
indepth/JJ review/NN of/IN multiple/JJ considerations/NNS 
federal/JJ judge/NN of/IN whether/IN such/PDT 
the/DT interest/NN of/IN justice/NN 
federal/JJ prosecution/NN of/IN youth/NN for/IN 
through/IN use/NN of/IN a/DT judicial/JJ 
common/JJ type/NN of/IN waiver/NN device/NN 
however/RB section/NN of/IN hr/NN takes/VBZ 
decision/NN out/IN of/IN the/DT judge/NN 
judicial/JJ conference/NN of/IN the/DT united/VBN 
federal/JJ prosecution/NN of/IN juveniles/NNS for/IN 
judicial/JJ review/NN of/IN whether/IN such/JJ 
the/DT interests/NNS of/IN justice/NN 
instead/RB of/IN focusing/VBG on/IN 
the/DT politics/NNS of/IN crime/NN where/WRB 
the/DT politics/NNS of/IN crime/NN in/IN 
in/IN favor/NN of/IN sound/JJ policy/NN 
the/DT area/NN of/IN juvenile/JJ justice/NN 
in/IN support/NN of/IN the/DT amendments/NNS 
were/VBD those/DT of/IN my/PRP$ colleagues/NNS 
struck/VBN section/NN of/IN the/DT bill/NN 
studies/NNS of/IN the/DT federal/JJ 
wide/JJ range/NN of/IN discretion/NN in/IN 
struck/VBN section/NN of/IN the/DT bill/NN 
the/DT transfer/NN of/IN juveniles/NNS to/TO 
the/DT transferring/VBG of/IN juveniles/NNS from/IN 
criminal/JJ prosecution/NN of/IN a/DT young/JJ 
the/DT interest/NN of/IN justice/NN 
psychological/JJ maturity/NN of/IN the/DT child/NN 
unreviewable/JJ process/NN of/IN transferring/VBG youth/NN 
the/DT needs/NNS of/IN youth/NN 
as/RB many/JJ of/IN you/PRP know/VBP 
in/IN and/CC of/IN itself/PRP to/TO 
the/DT purchase/NN of/IN a/DT dangerous/JJ 
the/DT course/NN of/IN a/DT ninemonth/JJ 
a/DT total/NN of/IN fiftysix/NN firearm/NN 
in/IN fortyseven/NN of/IN those/DT cases/NNS 
admittedly/RB section/NN of/IN the/DT underlying/JJ 
the/DT use/NN of/IN a/DT firearm/NN 
are/VBP often/RB of/IN little/JJ use/NN 
first/RB of/IN all/DT in/IN 
the/DT passage/NN of/IN the/DT patriot/NN 
are/VBP fearful/JJ of/IN these/DT gangs/NNS 
will/MD rising/VBG of/IN the/DT level/NN 
the/DT level/NN of/IN violence/NN but/CC 
dissuade/VB some/DT of/IN the/DT young/JJ 
young/JJ people/NNS of/IN america/NN away/RB 
and/CC kinship/NN of/IN gangs/NNS 
in/IN support/NN of/IN the/DT waters/NNS 
the/DT enactment/NN of/IN mandatory/JJ minimum/JJ 
federal/JJ bureau/NN of/IN prisons/NNS budget/NN 
comprise/VBP percent/NN of/IN the/DT united/VBN 
population/NN percent/NN of/IN drug/NN users/NNS 
users/NNS percent/NN of/IN cocaine/NN users/NNS 
but/CC percent/NN of/IN all/DT federal/JJ 
and/CC percent/NN of/IN federal/JJ cocaine/NN 
the/DT implementation/NN of/IN mandatory/JJ drug/NN 
a/DT result/NN of/IN mandatory/JJ minimum/JJ 
almost/RB percent/NN of/IN the/DT people/NNS 
are/VBP persons/NNS of/IN color/NN 
up/RP percent/NN of/IN the/DT federal/JJ 
a/DT result/NN of/IN mandatory/JJ minimum/JJ 
constituted/VBD percent/NN of/IN drug/NN users/NNS 
constituted/VBD percent/NN of/IN drug/NN arrests/NNS 
arrests/NNS percent/NN of/IN drug/NN convictions/NNS 
and/CC percent/NN of/IN those/DT in/IN 
year/NN percent/NN of/IN crack/NN cocaine/NN 
about/IN percent/NN of/IN crack/NN users/NNS 
only/RB percent/NN of/IN crack/NN cases/NNS 
constituted/VBD percent/NN of/IN crack/NN users/NNS 
sentenced/VBN portion/NN of/IN the/DT federal/JJ 
the/DT percentage/NN of/IN drug/NN offenders/NNS 
largest/JJS drivers/NNS of/IN expanding/VBG prison/NN 
disproportionate/JJ number/NN of/IN young/JJ black/JJ 
are/VBP guilty/JJ of/IN little/RB more/JJR 
a/DT history/NN of/IN untreated/JJ addiction/NN 
staggering/JJ cost/NN of/IN not/RB only/RB 
increasing/VBG numbers/NNS of/IN prisoners/NNS who/WP 
September/NNP issue/NN of/IN the/DT journal/NN 
lengthy/JJ incarceration/NN of/IN young/JJ african/JJ 
the/DT number/NN of/IN women/NNS sentenced/VBN 
the/DT imprisonment/NN of/IN women/NNS 
five/CD percent/NN of/IN female/JJ arrests/NNS 
and/CC over/IN of/IN female/JJ prison/NN 
a/DT result/NN of/IN their/PRP$ association/NN 
with/IN members/NNS of/IN a/DT gang/NN 
fall/VB short/JJ of/IN that/DT 
the/DT root/NN of/IN the/DT problem/NN 
of/IN the/DT million/CD 
negative/JJ aspects/NNS of/IN gang/NN life/NN 
a/DT part/NN of/IN something/NN and/CC 
the/DT chair/NN of/IN this/DT committee/NN 
the/DT issue/NN of/IN gangs/NNS 
with/IN all/DT of/IN the/DT approach/NN 
the/DT creation/NN of/IN databases/NNS to/TO 
other/JJ fields/NNS of/IN information/NN necessary/JJ 
the/DT movement/NN of/IN gangs/NNS and/CC 
the/DT balance/NN of/IN my/PRP$ time/NN 
in/IN support/NN of/IN the/DT bill/NN 
the/DT magnitude/NN of/IN that/DT size/NN 
necessary/JJ result/NN of/IN illegal/JJ immigration/NN 
fostered/VBN some/DT of/IN the/DT worst/JJS 
the/DT streets/NNS of/IN virginia/NN or/CC 
the/DT streets/NNS of/IN la/DT 
roughly/RB out/IN of/IN the/DT million/CD 
about/IN percent/NN of/IN the/DT illegal/JJ 
to/TO inquire/VB of/IN the/DT majority/NN 
what/WP type/NN of/IN rule/NN is/VBZ 
a/DT number/NN of/IN appropriation/NN bills/NNS 
for/IN all/DT of/IN that/DT valuable/JJ 
single/JJ member/NN of/IN this/DT house/NN 
single/JJ member/NN of/IN this/DT house/NN 
however/RB some/DT of/IN us/PRP want/VBP 
the/DT title/NN of/IN the/DT bill/NN 
the/DT causes/NNS of/IN gang/NN activity/NN 
ineffective/JJ enforcement/NN of/IN the/DT law/NN 
ganginfested/JJ area/NN of/IN east/JJ los/NNS 
mcbride/VBP founder/NN of/IN the/DT california/NN 
year/NN veteran/NN of/IN antigang/JJ policing/VBG 
to/TO lives/NNS of/IN crime/NN and/CC 
violence/NN instead/RB of/IN proactively/RB intervening/VBG 
the/DT exposure/NN of/IN innocent/JJ individuals/NNS 
the/DT proponents/NNS of/IN this/DT bill/NN 
inclusion/NN of/IN the/DT death/NN 
over/IN twothirds/NNS of/IN all/DT capital/NN 
reversed/VBN because/IN of/IN serious/JJ error/NN 
the/DT fallibility/NN of/IN the/DT death/NN 
the/DT fallibility/NN of/IN the/DT death/NN 
in/IN need/NN of/IN repair/NN 
the/DT transferring/VBG of/IN juveniles/NNS to/TO 
the/DT department/NN of/IN justice/NN has/VBZ 
greater/JJR number/NN of/IN crimes/NNS upon/IN 
up/RP victims/NNS of/IN rape/NN assault/NN 
the/DT cycle/NN of/IN gangs/NNS and/CC 
the/DT amount/NN of/IN youth/NN crime/NN 
flawed/JJ aspect/NN of/IN hr/NN is/VBZ 
in/IN sentencing/NN of/IN like/IN offenders/NNS 
judicial/JJ conference/NN of/IN the/DT united/VBN 
what/WP type/NN of/IN punishment/NN fits/VBZ 
s/VBZ host/NN of/IN harsh/JJ mandatory/JJ 
in/IN defiance/NN of/IN the/DT supreme/NN 
the/DT majority/NN of/IN cases/NNS 
the/DT lives/NNS of/IN these/DT young/JJ 
instead/RB of/IN expanding/VBG death/NN 
the/DT problem/NN of/IN youth/NN crime/NN 
effective/JJ means/NNS of/IN deterring/VBG crime/NN 
studies/NNS of/IN head/NN start/NN 
future/JJ cost/NN of/IN crime/NN remedial/JJ 
cost/NN impact/NN of/IN hr/NN estimated/VBN 
about/IN percent/NN of/IN job/NN corps/NN 
home/NN city/NN of/IN worcester/NN massachusetts/NNS 
the/DT issue/NN of/IN gang/NN violence/NN 
and/CC hundreds/NNS of/IN individuals/NNS were/VBD 
in/IN hopes/NNS of/IN reducing/VBG violence/NN 
communicate/VB messages/NNS of/IN nonviolence/NN and/CC 
the/DT churches/NNS of/IN the/DT city/NN 
the/DT city/NN of/IN worcester/NN along/IN 
through/IN codification/NN of/IN a/DT socalled/JJ 
crime/NN expansion/NN of/IN death/NN penalty/NN 
speaker/NN none/NN of/IN the/DT provisions/NNS 
effective/JJ ways/NNS of/IN dealing/VBG with/IN 
instead/RB of/IN taking/VBG a/DT 
the/DT cycle/NN of/IN gang/NN violence/NN 
however/RB one/CD of/IN the/DT things/NNS 
the/DT shortage/NN of/IN police/NN officers/NNS 
the/DT number/NN of/IN police/NN who/WP 
any/DT hopes/NNS of/IN deterring/VBG gangs/NNS 
debate/VB some/DT of/IN these/DT important/JJ 
the/DT kind/NN of/IN legislation/NN where/WRB 
this/DT issue/NN of/IN gang/NN violence/NN 
shut/VBN out/IN of/IN this/DT debate/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
one/CD of/IN the/DT things/NNS 
distinguished/JJ chairman/NN of/IN the/DT committee/NN 
a/DT handful/NN of/IN democratic/JJ amendments/NNS 
this/DT side/NN of/IN the/DT aisle/NN 
the/DT fact/NN of/IN the/DT matter/NN 
be/VB out/IN of/IN here/RB at/IN 
all/DT of/IN us/PRP have/VBP 
the/DT support/NN of/IN the/DT federal/JJ 
the/DT purchase/NN of/IN firearms/NNS ammunition/NN 
the/DT section/NN of/IN the/DT bill/NN 
the/DT suppression/NN of/IN youth/NN and/CC 
the/DT enhancement/NN of/IN law/NN enforcement/NN 
ruled/VBN out/IN of/IN order/NN by/IN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT importance/NN of/IN supporting/VBG our/PRP$ 
national/JJ council/NN of/IN la/DT raza/NN 
union/NN chamber/NN of/IN commerce/NN of/IN 
of/IN commerce/NN of/IN the/DT united/VBN 
social/JJ action/NN of/IN reform/NN judaism/NN 
national/JJ federation/NN of/IN independent/JJ business/NN 
the/DT president/NN of/IN catholic/JJ charities/NNS 
the/DT majority/NN of/IN the/DT committee/NN 
national/JJ council/NN of/IN la/DT raza/NN 
dear/RB member/NN of/IN congress/NN on/IN 
on/IN behalf/NN of/IN the/DT national/JJ 
national/JJ council/NN of/IN la/DT raza/NN 
protection/NN act/NN of/IN hr/NN which/WDT 
final/JJ passage/NN of/IN the/DT bill/NN 
root/NN causes/NNS of/IN the/DT problem/NN 
and/CC transfer/NN of/IN youth/NN into/IN 
the/DT inclusion/NN of/IN various/JJ mandatory/JJ 
broad/JJ category/NN of/IN offenses/NNS that/WDT 
section/NN of/IN the/DT bill/NN 
and/CC transfer/NN of/IN youth/NN into/IN 
the/DT opposite/NN of/IN what/WP this/DT 
greater/JJR number/NN of/IN crimes/NNS upon/IN 
these/DT kinds/NNS of/IN risks/NNS it/PRP 
sole/JJ discretion/NN of/IN a/DT prosecutor/NN 
basic/JJ principles/NNS of/IN due/JJ process/NN 
section/NN of/IN the/DT bill/NN 
broad/JJ category/NN of/IN offenses/NNS that/WDT 
and/CC quality/NN of/IN defense/NN attorney/NN 
commission/NN in/IN of/IN those/DT receiving/VBG 
hipanics/NNS comprised/VBD of/IN those/DT subject/JJ 
sentences/NNS in/IN of/IN the/DT tenyear/JJ 
mandatory/JJ sentences/NNS of/IN the/DT year/NN 
sentences/NNS and/CC of/IN the/DT mandatory/JJ 
the/DT age/NN of/IN people/NNS arrested/VBN 
the/DT number/NN of/IN people/NNS under/IN 
root/NN causes/NNS of/IN youth/NN violence/NN 
from/IN section/NN of/IN the/DT gang/NN 
deterrence/NN act/NN of/IN s/PRP 
general/JJ definition/NN of/IN a/DT crime/NN 
a/DT crime/NN of/IN violence/NN to/TO 
substantial/JJ risk/NN of/IN 
from/IN crimes/NNS of/IN violence/NN undermines/VBZ 
the/DT purpose/NN of/IN having/VBG a/DT 
special/JJ category/NN of/IN heinous/JJ crimes/NNS 
broaden/VB crimes/NNS of/IN violence/NN to/TO 
a/DT number/NN of/IN regulatory/JJ violations/NNS 
felony/NN violations/NNS of/IN environmental/JJ statutes/NNS 
criminalize/VBP violations/NNS of/IN both/DT statutory/JJ 
deemed/VBN crimes/NNS of/IN violence/NN 
the/DT defendant/NN of/IN the/DT underlying/VBG 
a/DT host/NN of/IN consequences/NNS including/VBG 
a/DT doubling/NN of/IN the/DT statute/NN 
the/DT statute/NN of/IN limitations/NNS 
current/JJ statute/NN of/IN limitations/NNS for/IN 
a/DT crime/NN of/IN violence/NN the/DT 
the/DT statute/NN of/IN limitations/NNS would/MD 
the/DT greater/JJR of/IN either/DT ten/CD 
from/IN discovery/NN of/IN the/DT alleged/JJ 
addition/NN conviction/NN of/IN any/DT crime/NN 
a/DT crime/NN of/IN violence/NN under/IN 
without/IN right/NN of/IN appeal/NN for/IN 
the/DT intent/NN of/IN this/DT legislation/NN 
sincerely/RB chamber/NN of/IN commerce/NN of/IN 
of/IN commerce/NN of/IN the/DT united/VBN 
association/NN of/IN oil/NN pipe/NN 
national/JJ association/NN of/IN manufacturers/NNS 
gas/NN association/NN of/IN america/NN 
the/DT purchase/NN of/IN firearms/NNS ammunition/NN 
the/DT section/NN of/IN the/DT bill/NN 
the/DT suppression/NN of/IN youth/NN and/CC 
and/CC enhancement/NN of/IN law/NN enforcement/NN 
the/DT reentry/NN of/IN exgang/NN members/NNS 
the/DT section/NN of/IN the/DT bill/NN 
a/DT member/NN of/IN the/DT gang/NN 
other/JJ fields/NNS of/IN information/NN necessary/JJ 
makes/VBZ application/NN of/IN the/DT death/NN 
upon/IN appropriation/NN of/IN the/DT authorized/JJ 
title/NN iv/NN of/IN the/DT justice/NN 
all/DT act/NN of/IN no/DT 
the/DT application/NN of/IN the/DT death/NN 
intentional/JJ acts/NNS of/IN the/DT defendant/NN 
or/CC continuation/NN of/IN juvenile/JJ gangs/NNS 
and/CC sale/NN of/IN illegal/JJ drugs/NNS 
the/DT definition/NN of/IN a/DT gang/NN 
on/IN behalf/NN of/IN the/DT united/VBN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
protection/NN act/NN of/IN the/DT gang/NN 
the/DT use/NN of/IN the/DT death/NN 
the/DT use/NN of/IN the/DT death/NN 
the/DT bishops/NNS of/IN the/DT united/VBN 
the/DT use/NN of/IN the/DT death/NN 
the/DT safety/NN of/IN persons/NNS public/JJ 
concrete/JJ conditions/NNS of/IN the/DT common/JJ 
the/DT dignity/NN of/IN the/DT human/JJ 
person/NN catechism/NN of/IN the/DT catholic/JJ 
or/CC waiver/NN of/IN youth/NN to/TO 
additional/JJ number/NN of/IN youth/NN in/IN 
the/DT actions/NNS of/IN the/DT most/RBS 
fully/RB aware/JJ of/IN their/PRP$ actions/NNS 
a/DT sign/NN of/IN failure/NN not/RB 
their/PRP$ chances/NNS of/IN receiving/VBG necessary/JJ 
fundamental/JJ misunderstanding/NN of/IN the/DT street/NN 
broad/JJ category/NN of/IN offenses/NNS that/WDT 
your/PRP$ consideration/NN of/IN this/DT very/RB 
our/PRP$ office/NN of/IN social/JJ development/NN 
gt/NN diocese/NN of/IN brooklyn/NN chairman/NN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
protection/NN act/NN of/IN 
protection/NN act/NN of/IN gang/NN bill/NN 
expansion/NN of/IN the/DT federal/JJ 
the/DT possibility/NN of/IN a/DT death/NN 
in/IN need/NN of/IN reform/NN not/RB 
the/DT expansion/NN of/IN the/DT death/NN 
arbitrary/JJ application/NN of/IN the/DT death/NN 
the/DT administration/NN of/IN the/DT death/NN 
in/IN lieu/NN of/IN enacting/VBG or/CC 
the/DT number/NN of/IN federal/JJ death/NN 
crimes/NNS section/NN of/IN the/DT bill/NN 
the/DT site/NN of/IN a/DT trial/NN 
studies/NNS of/IN the/DT federal/JJ 
wide/JJ range/NN of/IN discretion/NN in/IN 
be/VB convicted/VBN of/IN a/DT gang/NN 
not/RB members/NNS of/IN a/DT gang/NN 
collective/JJ group/NN of/IN three/CD or/CC 
or/CC intention/NN of/IN being/VBG a/DT 
a/DT part/NN of/IN a/DT socalled/JJ 
broad/JJ definition/NN of/IN criminal/JJ street/NN 
ambiguous/JJ standard/NN of/IN a/DT formal/JJ 
or/CC association/NN of/IN three/CD or/CC 
the/DT number/NN of/IN people/NNS required/VBN 
continuing/VBG series/NN of/IN crimes/NNS does/VBZ 
continuing/VBG series/NN of/IN offenses/NNS the/DT 
continuing/VBG series/NN of/IN offenses/NNS under/IN 
the/DT concept/NN of/IN gang/NN activity/NN 
some/DT type/NN of/IN connection/NN to/TO 
knit/VBN group/NN of/IN people/NNS 
broader/JJR definition/NN of/IN gang/NN crime/NN 
being/VBG convicted/VBN of/IN gang/NN crimes/NNS 
sentencing/NN discretion/NN of/IN judges/NNS by/IN 
many/JJ of/IN the/DT enhanced/JJ 
deprive/VBP judges/NNS of/IN the/DT ability/NN 
long/JJ periods/NNS of/IN time/NN prior/RB 
be/VB convicted/VBN of/IN crimes/NNS they/PRP 
the/DT statute/NN of/IN limitations/NNS is/VBZ 
the/DT statute/NN of/IN limitations/NNS for/IN 
noncapital/JJ crimes/NNS of/IN violence/NN 
the/DT statute/NN of/IN limitations/NNS for/IN 
for/IN crimes/NNS of/IN violence/NN to/TO 
the/DT use/NN of/IN questionable/JJ evidence/NN 
the/DT burden/NN of/IN proof/NN for/IN 
people/NNS accused/VBN of/IN certain/JJ firearms/NNS 
the/DT commission/NN of/IN serious/JJ drug/NN 
found/VBN guilty/JJ of/IN any/DT crime/NN 
the/DT facts/NNS of/IN the/DT case/NN 
criminal/JJ prosecution/NN of/IN a/DT young/JJ 
the/DT interest/NN of/IN justice/NN 
psychological/JJ maturity/NN of/IN the/DT child/NN 
is/VBZ years/NNS of/IN age/NN or/CC 
a/DT crime/NN of/IN violence/NN 
unreviewable/JJ process/NN of/IN transferring/VBG youth/NN 
the/DT needs/NNS of/IN youth/NN 
of/IN the/DT youth/NN 
the/DT expense/NN of/IN the/DT right/NN 
the/DT risk/NN of/IN convicting/VBG innocent/JJ 
the/DT problem/NN of/IN gang/NN crime/NN 
the/DT house/NN of/IN representatives/NNS votes/NNS 
a/DT host/NN of/IN state/NN violent/JJ 
current/JJ list/NN of/IN over/IN federal/JJ 
superior/JJ efforts/NNS of/IN the/DT states/NNS 
does/VBZ none/NN of/IN these/DT things/NNS 
judicial/JJ conference/NN of/IN the/DT united/VBN 
wide/JJ variety/NN of/IN offenses/NNS that/WDT 
a/DT variety/NN of/IN traditional/JJ state/NN 
the/DT appropriateness/NN of/IN the/DT death/NN 
chamber/NN of/IN commerce/NN of/IN 
of/IN commerce/NN of/IN the/DT united/VBN 
social/JJ action/NN of/IN reform/NN judaism/NN 
national/JJ council/NN of/IN la/DT raza/NN 
national/JJ federation/NN of/IN independent/JJ business/NN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
full/JJ list/NN of/IN opposing/VBG organizations/NNS 
the/DT balance/NN of/IN my/PRP$ time/NN 
a/DT result/NN of/IN the/DT violent/JJ 
enforcement/NN act/NN of/IN focuses/VBZ on/IN 
the/DT trust/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN their/PRP$ community/NN 
i/FW know/VB of/IN no/DT better/JJR 
prevent/VB consideration/NN of/IN the/DT gang/NN 
affect/VB any/DT of/IN the/DT amendments/NNS 
is/VBZ one/CD of/IN our/PRP$ most/RBS 
the/DT text/NN of/IN the/DT amendment/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT point/NN of/IN order/NN that/IN 
the/DT purpose/NN of/IN my/PRP$ amendment/NN 
the/DT department/NN of/IN homeland/NN security/NN 
a/DT number/NN of/IN types/NNS of/IN 
of/IN types/NNS of/IN criminal/JJ illegal/JJ 
computerized/JJ index/NN of/IN criminal/JJ justice/NN 
the/DT hands/NNS of/IN law/NN enforcement/NN 
three/CD types/NNS of/IN aliens/NNS would/MD 
final/JJ order/NN of/IN removal/NN issued/VBN 
of/IN this/DT number/NN 
and/CC that/IN of/IN the/DT previous/JJ 
incorporated/VBD much/RB of/IN my/PRP$ language/NN 
us/PRP some/DT of/IN the/DT most/RBS 
chief/NN planner/NN of/IN the/DT attacks/NNS 
a/DT number/NN of/IN other/JJ hijackers/NNS 
spiritual/JJ leader/NN of/IN the/DT world/NN 
the/DT spring/NN of/IN 
as/IN part/NN of/IN an/DT amnesty/NN 
the/DT profile/NN of/IN intending/VBG immigrant/JJ 
the/DT terms/NNS of/IN his/PRP$ visa/NN 
van/NN full/JJ of/IN explosives/NNS 
least/JJS percent/NN of/IN the/DT noncitizens/NNS 
the/DT attacks/NNS of/IN and/CC approximately/RB 
the/DT balance/NN of/IN my/PRP$ time/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
the/DT support/NN of/IN the/DT gentleman/NN 
terrible/JJ problem/NN of/IN illegal/JJ immigrants/NNS 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT department/NN of/IN justice/NN on/IN 
on/IN April/NNP of/IN this/DT year/NN 
anecdotal/JJ evidence/NN of/IN the/DT need/NN 
the/DT need/NN of/IN this/DT sort/NN 
this/DT sort/NN of/IN data/NNS 
shenandoah/NN valley/NN of/IN virginia/NN 
percent/NN composed/VBN of/IN illegal/JJ aliens/NNS 
a/DT number/NN of/IN the/DT illegal/JJ 
heather/RB macdonald/JJ of/IN the/DT manhattan/NN 
somewhat/RB out/IN of/IN date/NN 
california/NN department/NN of/IN justice/NN study/NN 
that/IN percent/NN of/IN the/DT member/NN 
the/DT leadership/NN of/IN the/DT colombian/JJ 
the/DT number/NN of/IN illegals/NNS among/IN 
how/WRB many/JJ of/IN these/DT gang/NN 
nationwide/JJ scope/NN of/IN what/WP we/PRP 
in/IN terms/NNS of/IN illegal/JJ aliens/NNS 
the/DT balance/NN of/IN my/PRP$ time/NN 
ask/VB all/DT of/IN our/PRP$ colleagues/NNS 
both/DT sides/NNS of/IN the/DT aisle/NN 
the/DT balance/NN of/IN my/PRP$ time/NN 
believe/VBP most/JJS of/IN us/PRP will/MD 
end/NN and/CC of/IN course/NN i/FW 
latest/JJS example/NN of/IN congress/NN disregarding/VBG 
the/DT name/NN of/IN getting/VBG tough/JJ 
many/JJ parts/NNS of/IN the/DT country/NN 
criminal/JJ activities/NNS of/IN gangs/NNS 
to/TO one/CD of/IN the/DT federal/JJ 
major/JJ expansion/NN of/IN federal/JJ criminal/JJ 
ever/RB accused/VBN of/IN being/VBG soft/JJ 
the/DT nature/NN of/IN our/PRP$ federal/JJ 
crimes/NNS out/IN of/IN offenses/NNS that/WDT 
fair/JJ administration/NN of/IN justice/NN and/CC 
administrative/JJ districts/NNS of/IN a/DT nation/NN 
in/IN place/NN of/IN the/DT discretion/NN 
the/DT discretion/NN of/IN a/DT judge/NN 
legislative/JJ usurpation/NN of/IN areas/NNS properly/RB 
been/VBN critical/JJ of/IN judicial/JJ usurpation/NN 
judicial/JJ usurpation/NN of/IN legislative/JJ functions/NNS 
dimarzio/VBP chairman/NN of/IN the/DT domestic/JJ 
policy/NN committee/NN of/IN the/DT united/VBN 
states/NNS conference/NN of/IN catholic/JJ bishops/NNS 
snyder/NN president/NN of/IN catholic/JJ charities/NNS 
the/DT crime/NN of/IN other/JJ factors/NNS 
and/CC punishment/NN of/IN gang/NN crimes/NNS 
a/DT multitude/NN of/IN reasons/NNS and/CC 
the/DT causes/NNS of/IN gang/NN crimes/NNS 
supporters/NNS of/IN this/DT bill/NN 
the/DT sponsors/NNS of/IN this/DT bill/NN 
administrative/JJ districts/NNS of/IN the/DT federal/JJ 
sentencing/NN decisions/NNS of/IN judges/NNS and/CC 
the/DT use/NN of/IN the/DT federal/JJ 
prosecution/NN act/NN of/IN 
each/DT of/IN these/DT gangs/NNS 
large/JJ amounts/NNS of/IN territory/NN and/CC 
both/DT sides/NNS of/IN the/DT aisle/NN 
instead/RB of/IN offering/VBG funding/NN 
merely/RB one/CD of/IN the/DT avenues/NNS 
as/IN many/JJ of/IN my/PRP$ democratic/JJ 
greater/JJR likelihood/NN of/IN repeat/NN and/CC 
track/NN record/NN of/IN keeping/VBG kids/NNS 
kids/NNS out/IN of/IN gangs/NNS but/CC 
judiciary/NN markup/NN of/IN this/DT bill/NN 
require/VB half/NN of/IN those/DT funds/NNS 
the/DT dangers/NNS of/IN gang/NN participation/NN 
class/NN inside/IN of/IN paramount/JJ last/JJ 
the/DT attention/NN of/IN the/DT students/NNS 
the/DT use/NN of/IN the/DT death/NN 
a/DT host/NN of/IN crimes/NNS currently/RB 
as/IN crimes/NNS of/IN violence/NN including/VBG 
the/DT definition/NN of/IN criminal/JJ street/NN 
sole/JJ discretion/NN of/IN the/DT government/NN 
the/DT use/NN of/IN the/DT federal/JJ 
the/DT way/NN of/IN jobs/NNS or/CC 
greater/JJR number/NN of/IN crimes/NNS upon/IN 
the/DT effectiveness/NN of/IN focused/JJ family/NN 
big/JJ sisters/NNS of/IN america/NN have/VBP 
instead/RB of/IN funding/VBG these/DT 
demonstrated/VBN supporters/NNS of/IN this/DT bill/NN 
any/DT evidence/NN of/IN actually/RB deterring/VBG 
increased/VBD federalization/NN of/IN juvenile/JJ crime/NN 
judicial/JJ conference/NN of/IN the/DT united/VBN 
the/DT responsibility/NN of/IN congress/NN to/TO 
young/JJ people/NNS of/IN this/DT nation/NN 
in/IN February/NNP of/IN this/DT year/NN 
deterrence/NN act/NN of/IN 
reported/VBN out/IN of/IN the/DT senate/NN 
a/DT host/NN of/IN gang/NN and/CC 
the/DT sponsor/NN of/IN the/DT bill/NN 
a/DT host/NN of/IN other/JJ law/NN 
opposite/JJ side/NN of/IN the/DT aisle/NN 
that/IN all/DT of/IN the/DT prevention/NN 
stripped/VBN out/IN of/IN the/DT antigang/JJ 
stripped/VBN out/IN of/IN my/PRP$ bill/NN 
the/DT support/NN of/IN law/NN enforcement/NN 
also/RB part/NN of/IN the/DT bipartisan/JJ 
both/DT sides/NNS of/IN the/DT aisle/NN 
the/DT problem/NN of/IN criminal/JJ street/NN 
the/DT business/NN of/IN legislating/NN but/CC 
